#AfterMeToo	#AprèsMoiAussi
#AndNow	#EtMaintenant
#MeToo	#MoiAussi
1 800 O-Canada	1 800 O-Canada
2030 Agenda for Sustainable Development	Programme de développement durable à l’horizon 2030
23rd Olympic Games	XXIIIes Jeux olympiques
3D	3D
40/60 ratio	40-60
41st general election	la 41e élection générale
50:50 ratio	50-50
6(1)(a) all the way	application universelle de l’alinéa 6(1)a)
7/50 rule	la règle du 7/50
A.D.	après Jésus-Christ
Abdallah II	Abdallah II
AbitibiBowater	AbitibiBowater
Aboriginal Veterans Day	Journée des vétérans autochtones
absolute liability	responsabilité absolue
Abu Dhabi	Abou Dhabi
administration of the House	Administration de la Chambre des communes
administration of the Senate	Administration du Sénat
administrative segregation	isolement préventif
advance consent	consentement préalable
advance request	demande anticipée
Advisory council on the implementation of national pharmacare	Conseil consultatif sur la mise en œuvre d’un régime national d’assurance-médicaments
aerospace industry	secteur de l'aérospatiale
Afghan Independent Human Rights Commission	Commission afghane indépendante des droits de l'homme
Afghanistan Independent Human Rights Commission	Commission afghane indépendante des droits de l'homme
age of consent	âge du consentement
AIDS	sida
AIDS patient	sidéen
Air India	Air India
airspace	espace aérien
Al Arabiya	Al Arabiya
Al Jazeera	Al Djazira
Alawi	alaouites
alcohol related birth defects	malformations congénitales causées par l'alcool
alcoholic beverages	boissons alcoolisées
al-Jihad	Al-Djihad
all my relations	pour toutes mes relations
allegations	allégations
allowances and benefits	allocations et prestations
all-party committee	comité omnipartite
all-party women’s caucus	caucus féminin de tous les partis
Al-Qaeda in the Islamic Maghreb	Al-Qaïda au Maghreb islamique
Alzheimer’s disease	maladie d’Alzheimer
Amish	amish
Amnesty International	Amnistie internationale
Anchor Loop project	projet de doublement d’ancrage
animal welfare	bien-être des animaux
Arakan State	État d’Arakan
arena	aréna
arms inspectors	inspecteurs en désarmement
Arrangement for the Transfer of Detainees Between the Canadian Forces and the Ministry of Defence of the Islamic Republic of Afghanistan	Entente sur le transfert des détenus conclue entre les Forces canadiennes et le ministère de la Défense de la République islamique d'Afghanistan
artifact	artéfact
Asian Infrastructure Investment Bank	Banque asiatique d’investissement dans les infrastructures
Atlantic Accord	Accord atlantique
Atlantic accords	accords atlantiques
Atlantic Gateway and Corridor Strategy	Stratégie sur la porte et le corridor de commerce de l'Atlantique
Atlantic Provinces Trial Lawyers Association	Association des avocats plaideurs des provinces de l’Atlantique
Audrey’s amendment	modification d’Audrey
avian influenza	grippe aviaire
aviation safety	sécurité aérienne
aviation security	sûreté aérienne
Ayatollah Khomeini	ayatollah Khomeyni
baby-boom	baby-boom
baby-boomers	baby-boomers
bargaining table	table de négociations
Basra	Bassora
Bay Street Budget	budget pour Bay Street
Beijing	Pékin
Belt and Road Initiative	le projet La Ceinture et la Route
beyond the border agreement	entente Par-delà la frontière
Bill & Melinda Gates Foundation	Fondation Bill et Melinda Gates
Bill 62	projet de loi no 62
bingo cards	cartes de bingo
birth defects	malformations congénitales
bitcoin	bitcoin
Black Friday	Vendredi fou
BlackBerry	BlackBerry
Blue Cross	Croix bleue
blues	les « bleus »
blunt wrap	feuille d'enveloppe
bomber command	Bomber Command
book of dirty tricks	guide de la petite obstruction
border infrastructure fund	Fonds pour l'infrastructure frontalière
Boys and Girls Clubs of Canada	Clubs garçons et filles du Canada
bromance	bromance
budget	budget
bureaucrat	fonctionnaire
burka	burka
Burrard Inlet	baie Burrard
Buy American Act	loi Achetez américain
Buy American Policy	politique d'achat aux États-Unis
byelection	élection complémentaire
C Series	C Series
Camp Mirage	Camp Mirage
